"Timestamp","Overall, I am satisfied with how easy it is to navigate this website. ","Is the genre advertised clear?","Were you able to find the relevant information at each step?","I found the website appealing. In terms of styling, layout and functionality.","I like the concept.","It is easy to find information that I need.","The colour and font schemes on the site are pleasant and work well together.","I would be happy to use this website if it catered to a service I require.","This website has all the functions and capabilities I would expect it to have.","Overall I like the website and business idea.","Please write any additional feedback"
"2022/04/01 10:06:50 am CET","Agree","Strongly agree","Neutral","Agree","Strongly agree","Agree","Agree","Agree","Agree","Yes","Couldnt find the navigation bar when I first loaded the page. I think it should be clearer and not appear once ive already started going down the page."
"2022/04/01 10:08:59 am CET","Neutral","Agree","Agree","Disagree","Agree","Neutral","Neutral","Neutral","Agree","Yes","Overall I found the website easy to use. I didnt personally like the style or layout. Some things like the search bar didnt work in the navigation bar."
"2022/04/01 10:10:23 am CET","Agree","Neutral","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Neutral","Yes","I really like the idea and how the site looks. Its hard to envision what it will actually be like however with the amount of missing features."
